,id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,rating_delta,moves,opening_eco,opening_name,opening_ply
0,9068,0,1504210000000.0,1504210000000.0,13,0,0,15+2,1287,1500,11,1191,309,4524,248,1387,5
1,14512,1,1504130000000.0,1504130000000.0,16,1,2,5+10,16,1322,7748,1261,61,1987,71,750,4
2,14904,1,1504130000000.0,1504130000000.0,61,2,0,5+10,3823,1496,11,1500,-4,16383,171,650,3
3,14350,1,1504110000000.0,1504110000000.0,61,2,0,20+0,2017,1439,134,1454,-15,3770,241,992,3
4,3091,1,1504030000000.0,1504030000000.0,95,2,0,30+3,6056,1523,134,1469,54,15622,192,783,5
5,7069,0,1504240000000.0,1504240000000.0,5,3,1,10+0,8568,1250,3065,1002,248,8205,96,1292,4
6,16315,1,1504230000000.0,1504230000000.0,33,1,0,10+0,1467,1520,2041,1423,97,5332,239,91,10
7,8463,0,1503680000000.0,1503680000000.0,9,1,2,15+30,2023,1413,7866,2108,-695,6811,71,752,5
8,12274,1,1503510000000.0,1503510000000.0,66,1,2,15+0,2525,1439,2041,1392,47,11424,201,503,6
9,11235,1,1503440000000.0,1503440000000.0,119,2,0,10+0,2023,1381,5690,1209,172,10816,72,1141,4
10,5465,0,1503350000000.0,1503350000000.0,39,2,0,20+60,2023,1381,517,1272,109,6607,0,1433,1
11,9735,0,1503350000000.0,1503350000000.0,38,1,2,20+60,2023,1381,8017,1867,-486,17933,154,323,9
12,5393,0,1503350000000.0,1503350000000.0,60,1,2,5+40,2023,1381,7201,1936,-555,17310,152,352,3
13,831,0,1503340000000.0,1503340000000.0,31,1,2,8+0,2023,1381,414,1607,-226,17452,152,311,2
14,17302,0,1504090000000.0,1504100000000.0,31,2,0,15+15,7667,1094,8057,1141,-47,13274,201,297,8
15,13233,0,1504090000000.0,1504090000000.0,43,1,2,15+15,8119,1141,7656,1094,47,13345,208,518,7
16,7951,0,1504090000000.0,1504090000000.0,52,1,2,15+15,7667,1094,8057,1141,-47,13273,201,297,8
17,4641,0,1504010000000.0,1504010000000.0,66,2,2,15+16,8119,1141,7656,1094,47,13272,201,297,8
18,18762,0,1504010000000.0,1504010000000.0,101,1,2,15+15,7667,1094,7759,1300,-206,15258,192,785,5
19,18224,0,1503760000000.0,1503760000000.0,25,1,0,11+0,3022,1500,7656,1094,406,5399,239,961,2
20,15558,0,1502950000000.0,1502950000000.0,14,1,2,15+15,7667,1094,4952,1676,-582,13734,206,463,6
21,8084,0,1502950000000.0,1502950000000.0,3,1,0,30+60,7667,1094,8282,1068,26,5663,36,433,2
22,1803,0,1502950000000.0,1502950000000.0,17,1,0,15+5,8045,1500,7656,1094,406,7338,90,1208,3
23,9424,1,1502950000000.0,1502950000000.0,36,1,0,10+0,7110,1307,7656,1106,201,1127,24,257,4
24,14874,1,1502860000000.0,1502860000000.0,13,1,2,10+0,7667,1113,3982,1423,-310,9465,91,1351,3
25,13784,1,1502780000000.0,1502780000000.0,69,2,0,10+10,7667,1078,8057,1219,-141,3657,240,967,4
26,10015,1,1502780000000.0,1502780000000.0,43,1,0,10+10,3207,1825,7656,1079,746,14358,196,1158,8
27,16905,1,1502780000000.0,1502780000000.0,54,2,2,10+10,5205,1328,7656,1038,290,3690,240,967,4
28,7245,1,1502780000000.0,1502780000000.0,53,1,2,10+10,7667,1056,1203,1156,-100,4555,248,1377,4
29,6830,1,1502780000000.0,1502780000000.0,66,2,2,10+10,7667,1077,1772,1148,-71,4198,245,943,4
30,12807,1,1502780000000.0,1502780000000.0,64,1,2,10+10,1172,1358,7656,1036,322,9460,91,1351,3
31,4275,1,1502780000000.0,1502780000000.0,64,2,2,10+10,7253,1200,7656,1002,198,8245,119,1211,6
32,4799,1,1502780000000.0,1502780000000.0,54,1,0,10+10,8861,1203,7656,1019,184,8238,96,1194,3
33,4670,0,1502720000000.0,1502720000000.0,21,1,2,15+3,7667,1019,7627,1500,-481,4770,258,855,6
34,6758,0,1502430000000.0,1502430000000.0,11,1,0,18+0,5450,1422,7656,975,447,7353,90,1208,3
35,14589,1,1502430000000.0,1502430000000.0,19,1,2,10+0,7667,976,7854,1832,-856,6230,77,1010,4
36,5148,1,1502430000000.0,1502430000000.0,28,1,0,10+0,7056,1569,7656,978,591,5329,239,93,10
37,7562,0,1502210000000.0,1502210000000.0,22,1,2,15+0,7667,978,4236,1500,-522,2153,41,443,2
38,10655,0,1502210000000.0,1502210000000.0,37,1,0,15+0,4128,1500,7656,978,522,8777,134,1239,17
39,4981,0,1502030000000.0,1502030000000.0,34,1,0,30+30,6869,2449,7656,978,1471,1473,20,258,3
40,8359,0,1499700000000.0,1499700000000.0,32,3,1,20+25,9058,1207,7656,978,229,8804,127,1227,10
41,16368,0,1499700000000.0,1499700000000.0,71,1,2,5+5,5593,1241,7656,978,263,7670,93,1219,3
42,8668,0,1499620000000.0,1499620000000.0,30,1,0,30+0,8012,1500,7656,978,522,9462,91,1351,3
43,15679,0,1499610000000.0,1499620000000.0,66,1,0,40+40,6869,2443,7656,978,1465,8797,133,1240,17
44,12446,0,1499330000000.0,1499330000000.0,41,1,0,20+0,3568,1500,7656,978,522,9526,91,1351,3
45,15051,0,1499330000000.0,1499330000000.0,49,1,0,15+0,4072,1500,7656,978,522,7270,90,1208,3
46,661,0,1499330000000.0,1499330000000.0,3,1,2,15+0,7667,978,4187,1500,-522,10490,72,1125,2
47,5710,0,1499320000000.0,1499320000000.0,7,1,0,10+0,130,1343,7656,978,365,7356,90,1208,3
48,17055,0,1499010000000.0,1499010000000.0,35,2,0,40+40,6869,2436,7656,978,1458,8794,134,1239,17
49,13839,0,1498400000000.0,1498410000000.0,41,2,0,40+40,6869,2436,7656,978,1458,10919,72,1141,4
50,3184,0,1497980000000.0,1497980000000.0,5,1,2,10+0,7667,978,969,1500,-522,5956,152,359,3
51,15142,0,1497900000000.0,1497900000000.0,7,1,0,10+0,5009,1500,7656,978,522,16483,172,642,4
52,6393,0,1497890000000.0,1497900000000.0,53,2,0,10+0,7667,978,5086,1500,-522,6113,61,191,2
53,15745,0,1497890000000.0,1497890000000.0,36,1,2,10+0,5009,1500,7656,978,522,1609,19,247,2
54,7784,1,1503220000000.0,1503230000000.0,8,1,0,16+0,9093,1521,3247,1162,359,626,4,1469,2
55,224,1,1503180000000.0,1503180000000.0,3,1,0,6+10,1486,1407,3247,1500,-93,7573,93,1219,3
56,7449,1,1504260000000.0,1504260000000.0,28,1,0,10+0,5419,1492,9041,1458,34,16201,177,1439,5
57,1343,1,1504250000000.0,1504250000000.0,30,1,2,10+0,634,1414,9041,1442,-28,15757,192,794,8
58,13578,1,1504140000000.0,1504140000000.0,44,1,2,10+0,9122,1457,8171,1294,163,14245,195,1150,5
59,8191,1,1504140000000.0,1504140000000.0,29,1,0,10+0,85,1525,9041,1466,59,15395,192,797,6
60,3090,1,1504230000000.0,1504230000000.0,37,1,2,8+10,3830,1207,6281,1579,-372,17338,152,352,3
61,19086,1,1503970000000.0,1503970000000.0,49,1,0,8+12,6234,1567,2114,1573,-6,6163,36,682,2
62,16220,1,1503970000000.0,1503970000000.0,32,1,2,8+12,6234,1578,4883,1605,-27,5631,36,433,2
63,2181,1,1503970000000.0,1503970000000.0,25,1,0,8+12,4160,1939,6281,1581,358,2721,311,98,6
64,10440,1,1503970000000.0,1503970000000.0,40,2,2,5+10,6693,1618,6281,1568,50,17017,152,311,2
65,4102,1,1503960000000.0,1503960000000.0,39,1,0,7+12,3168,1755,6281,1574,181,749,4,1459,2
66,2038,1,1503890000000.0,1503890000000.0,57,1,0,15+10,6234,1561,7260,1596,-35,1999,41,443,2
67,14537,1,1503810000000.0,1503810000000.0,78,1,2,5+40,1105,1500,6281,1554,-54,17040,152,363,3
68,15197,1,1503790000000.0,1503790000000.0,61,1,0,15+5,6234,1544,8509,1461,83,3577,239,977,3
69,11811,1,1503710000000.0,1503710000000.0,44,1,2,20+5,6234,1563,2571,1335,228,3406,239,977,3
70,7288,1,1503710000000.0,1503710000000.0,62,2,2,20+5,6234,1579,2877,1470,109,5423,37,960,2
71,4160,1,1503700000000.0,1503700000000.0,87,2,0,20+5,1650,1617,6281,1590,27,3041,41,443,2
72,2,1,1503700000000.0,1503700000000.0,54,2,2,20+5,497,1207,6281,1588,-381,18001,154,325,7
73,5688,1,1503690000000.0,1503690000000.0,54,1,2,15+5,6234,1595,7361,1547,48,3425,239,977,3
74,9982,1,1503690000000.0,1503690000000.0,37,1,0,15+5,6961,1855,6281,1599,256,18022,153,343,5
75,15587,1,1503690000000.0,1503690000000.0,50,1,0,15+5,6234,1589,3911,1547,42,5658,36,433,2
76,13579,1,1503690000000.0,1503690000000.0,131,1,0,30+0,6234,1571,8170,1728,-157,2009,241,976,5
